date,JPM,META,NVDA,TSLA
2023-03-23,117.5379409790039,202.501708984375,27.135326385498047,192.22000122070312
2023-03-24,115.74949645996094,204.21665954589844,26.724170684814453,190.41000366210938
2023-03-27,119.06692504882812,201.07423400878906,26.47667694091797,191.80999755859375
2023-03-28,119.42833709716797,198.9330596923828,26.355924606323242,189.19000244140625
2023-03-29,119.66925811767578,203.5624237060547,26.928747177124023,193.8800048828125
2023-03-30,119.30786895751953,206.03073120117188,27.326929092407227,195.27999877929688
2023-03-31,120.75347137451172,210.0950469970703,27.720123291015625,207.4600067138672
2023-04-03,120.61445617675781,211.21522521972656,27.907737731933594,194.77000427246094
2023-04-04,119.0020751953125,212.85086059570312,27.39678955078125,192.5800018310547
2023-04-05,119.17951202392578,209.6390380859375,26.82596206665039,185.52000427246094
2023-04-06,119.04875946044922,214.21884155273438,26.98164176940918,185.05999755859375
2023-04-10,119.44100952148438,212.8805694580078,27.522531509399414,184.50999450683594
2023-04-11,120.02938842773438,211.9884033203125,27.113370895385742,186.7899932861328
2023-04-12,120.01071166992188,212.13710021972656,26.440750122070312,180.5399932861328
2023-04-13,120.46834564208984,218.43185424804688,26.408815383911133,185.89999389648438
2023-04-14,129.56488037109375,219.5618896484375,26.703210830688477,185.0
2023-04-17,130.5922088623047,216.95480346679688,26.94671058654785,187.0399932861328
2023-04-18,132.05848693847656,215.9932403564453,27.610349655151367,184.30999755859375
2023-04-19,131.89035034179688,213.82228088378906,27.873809814453125,180.58999633789062
2023-04-20,131.5074462890625,211.21522521972656,27.048500061035156,162.99000549316406
2023-04-21,131.2552947998047,211.03677368164062,27.063472747802734,165.0800018310547
2023-04-24,131.4327850341797,210.93763732910156,26.986629486083984,162.5500030517578
2023-04-25,128.57489013671875,205.74325561523438,26.187265396118164,160.6699981689453
2023-04-26,126.29608917236328,207.57713317871094,26.900802612304688,153.75
2023-04-27,127.995849609375,236.48329162597656,27.170251846313477,160.19000244140625
2023-04-28,129.1072235107422,238.2279815673828,27.69217872619629,164.30999755859375
2023-05-01,131.8717041015625,241.06307983398438,28.85080337524414,161.8300018310547
2023-05-02,129.74232482910156,237.15737915039062,28.152238845825195,160.30999755859375
2023-05-03,126.99654388427734,234.96664428710938,27.745075225830078,160.61000061035156
2023-05-04,125.2594223022461,231.48716735839844,27.505563735961914,161.1999969482422
2023-05-05,127.70634460449219,230.7536163330078,28.62127685546875,170.05999755859375
2023-05-08,128.01455688476562,231.23934936523438,29.091306686401367,171.7899932861328
2023-05-09,127.39816284179688,231.3385009765625,28.512496948242188,169.14999389648438
2023-05-10,127.46350860595703,231.05099487304688,28.82586097717285,168.5399932861328
2023-05-11,127.06195068359375,233.73741149902344,28.519481658935547,172.0800018310547
2023-05-12,125.2407455444336,231.774658203125,28.281970977783203,167.97999572753906
2023-05-15,126.29608917236328,236.7806854248047,28.893714904785156,166.35000610351562
2023-05-16,125.44622039794922,236.74105834960938,29.153182983398438,166.52000427246094
2023-05-17,129.30337524414062,240.37913513183594,30.116207122802734,173.86000061035156
2023-05-18,130.28402709960938,244.70114135742188,31.613136291503906,176.88999938964844
2023-05-19,129.98513793945312,243.50167846679688,31.199987411499023,180.13999938964844
2023-05-22,128.91114807128906,246.15835571289062,31.112163543701172,188.8699951171875
2023-05-23,127.56623840332031,244.59210205078125,30.62516212463379,185.77000427246094
2023-05-24,126.3988265991211,247.04058837890625,30.47547149658203,182.89999389648438
2023-05-25,126.70702362060547,250.4903106689453,37.902244567871094,184.47000122070312
2023-05-26,127.89312744140625,259.7589416503906,38.86624526977539,193.1699981689453
2023-05-30,128.37876892089844,260.2347106933594,40.028865814208984,201.16000366210938
2023-05-31,126.7444076538086,262.4156188964844,37.75652313232422,203.92999267578125
2023-06-01,128.4908447265625,270.23687744140625,39.68856430053711,207.52000427246094
2023-06-02,131.18994140625,270.23687744140625,39.246482849121094,213.97000122070312
2023-06-05,129.90109252929688,269.0275573730469,39.09078598022461,217.61000061035156
2023-06-06,130.1345672607422,268.7597961425781,38.574851989746094,221.30999755859375
2023-06-07,131.3953857421875,261.3053283691406,37.402137756347656,224.57000732421875
2023-06-08,131.4327850341797,262.27679443359375,38.435123443603516,234.86000061035156
2023-06-09,131.6942596435547,262.6435852050781,38.69462203979492,244.39999389648438
2023-06-12,131.6848907470703,268.6904296875,39.40523147583008,249.8300018310547
2023-06-13,132.63754272460938,268.9581298828125,40.942237854003906,258.7099914550781
2023-06-14,132.14254760742188,270.970458984375,42.91339874267578,256.7900085449219
2023-06-15,133.63682556152344,279.3766174316406,42.570068359375,255.89999389648438
2023-06-16,133.7955780029297,278.5538024902344,42.60898971557617,260.5400085449219
2023-06-20,133.1138458251953,281.85491943359375,43.72282791137695,274.45001220703125
2023-06-21,132.917724609375,279.1883544921875,42.9613037109375,259.4599914550781
2023-06-22,130.35873413085938,282.4000244140625,42.94134521484375,264.6099853515625
2023-06-23,129.67697143554688,286.21661376953125,42.12693405151367,256.6000061035156
2023-06-26,129.9945068359375,276.0459289550781,40.55299758911133,241.0500030517578
2023-06-27,130.00381469726562,284.5511779785156,41.794586181640625,250.2100067138672
2023-06-28,129.43411254882812,282.8065490722656,41.037052154541016,256.239990234375
2023-06-29,133.95437622070312,279.0792541503906,40.74263000488281,257.5
2023-06-30,135.8315887451172,284.4818420410156,42.219757080078125,261.7699890136719
2023-07-03,136.92428588867188,283.5301513671875,42.33053207397461,279.82000732421875
2023-07-05,136.0121612548828,291.8074645996094,42.23472595214844,282.4800109863281
2023-07-06,134.66746520996094,289.44818115234375,42.02113723754883,276.5400085449219
2023-07-07,135.73001098632812,288.0008850097656,42.42035675048828,274.42999267578125
2023-07-10,136.49169921875,291.53985595703125,42.097991943359375,269.6099853515625
2023-07-11,138.6262969970703,295.6933898925781,42.322547912597656,269.7900085449219
2023-07-12,139.31277465820312,306.6471252441406,43.81663513183594,271.989990234375
2023-07-13,139.98983764648438,310.6817321777344,45.88760757446289,277.8999938964844
2023-07-14,140.8361358642578,306.18121337890625,45.38059616088867,281.3800048828125
2023-07-17,144.2307891845703,307.916015625,46.370662689208984,290.3800048828125
2023-07-18,144.49411010742188,309.33355712890625,47.40165328979492,293.3399963378906
2023-07-19,145.04891967773438,313.2591552734375,46.98546600341797,291.260009765625
2023-07-20,146.83555603027344,299.886474609375,45.431495666503906,262.8999938964844
2023-07-21,145.7071533203125,291.6984558105469,44.22285079956055,260.0199890136719
2023-07-24,148.57522583007812,289.0714416503906,44.5252571105957,269.05999755859375
2023-07-25,147.4656219482422,291.9065856933594,45.59018325805664,265.2799987792969
2023-07-26,148.34954833984375,295.9709167480469,45.363624572753906,264.3500061035156
2023-07-27,146.7133331298828,308.9965515136719,45.81075668334961,255.7100067138672
